abk,Abkhazian
ace,Achinese
ach,Acoli
ada,Adangme
ady,Adygei
ady,Adyghe
aar,Afar
afh,Afrihili
afr,Afrikaans
afa,Afro-Asiatic languages
ain,Ainu
aka,Akan
akk,Akkadian
sqi,Albanian
gsw,Alemannic
ale,Aleut
alg,Algonquian languages
gsw,Alsatian
tut,Altaic languages
amh,Amharic
anp,Angika
apa,Apache languages
ara,Arabic
arg,Aragonese
arp,Arapaho
arw,Arawak
hye,Armenian
rup,Aromanian
art,Artificial languages
rup,Arumanian
asm,Assamese
ast,Asturian
ast,Asturleonese
ath,Athapascan languages
aus,Australian languages
map,Austronesian languages
ava,Avaric
ave,Avestan
awa,Awadhi
aym,Aymara
aze,Azerbaijani
ast,Bable
ban,Balinese
bat,Baltic languages
bal,Baluchi
bam,Bambara
bai,Bamileke languages
bad,Banda languages
bnt,Bantu languages
bas,Basa
bak,Bashkir
eus,Basque
btk,Batak languages
bej,Bedawiyet
bej,Beja
bel,Belarusian
bem,Bemba
ben,Bengali
ber,Berber languages
bho,Bhojpuri
bih,Bihari languages
bik,Bikol
byn,Bilin
bin,Bini
bis,Bislama
byn,Blin
zbl,Bliss
zbl,Blissymbolics
zbl,Blissymbols
nob,"Bokmål, Norwegian"
bos,Bosnian
bra,Braj
bre,Breton
bug,Buginese
bul,Bulgarian
bua,Buriat
mya,Burmese
cad,Caddo
spa,Castilian
cat,Catalan
cau,Caucasian languages
ceb,Cebuano
cel,Celtic languages
cai,Central American Indian languages
khm,Central Khmer
chg,Chagatai
cmc,Chamic languages
cha,Chamorro
che,Chechen
chr,Cherokee
nya,Chewa
chy,Cheyenne
chb,Chibcha
nya,Chichewa
zho,Chinese
chn,Chinook jargon
chp,Chipewyan
cho,Choctaw
zha,Chuang
chu,Church Slavic
chu,Church Slavonic
chk,Chuukese
chv,Chuvash
nwc,Classical Nepal Bhasa
nwc,Classical Newari
syc,Classical Syriac
rar,Cook Islands Maori
cop,Coptic
cor,Cornish
cos,Corsican
cre,Cree
mus,Creek
crp,Creoles and pidgins
cpe,"Creoles and pidgins, English based"
cpf,"Creoles and pidgins, French-based"
cpp,"Creoles and pidgins, Portuguese-based"
crh,Crimean Tatar
crh,Crimean Turkish
hrv,Croatian
cus,Cushitic languages
ces,Czech
dak,Dakota
dan,Danish
dar,Dargwa
del,Delaware
chp,Dene Suline
div,Dhivehi
zza,Dimili
zza,Dimli
din,Dinka
div,Divehi
doi,Dogri
dgr,Dogrib
dra,Dravidian languages
dua,Duala
nld,Dutch
dum,"Dutch, Middle (ca.1050-1350)"
dyu,Dyula
dzo,Dzongkha
frs,Eastern Frisian
bin,Edo
efi,Efik
egy,Egyptian (Ancient)
eka,Ekajuk
elx,Elamite
eng,English
enm,"English, Middle (1100-1500)"
ang,"English, Old (ca.450-1100)"
myv,Erzya
epo,Esperanto
est,Estonian
ewe,Ewe
ewo,Ewondo
fan,Fang
fat,Fanti
fao,Faroese
fij,Fijian
fil,Filipino
fin,Finnish
fiu,Finno-Ugrian languages
nld,Flemish
fon,Fon
fra,French
frm,"French, Middle (ca.1400-1600)"
fro,"French, Old (842-ca.1400)"
fur,Friulian
ful,Fulah
gaa,Ga
gla,Gaelic
car,Galibi Carib
glg,Galician
lug,Ganda
gay,Gayo
gba,Gbaya
gez,Geez
kat,Georgian
deu,German
nds,"German, Low"
gmh,"German, Middle High (ca.1050-1500)"
goh,"German, Old High (ca.750-1050)"
gem,Germanic languages
kik,Gikuyu
gil,Gilbertese
gon,Gondi
gor,Gorontalo
got,Gothic
grb,Grebo
grc,"Greek, Ancient (to 1453)"
ell,"Greek, Modern (1453-)"
kal,Greenlandic
grn,Guarani
guj,Gujarati
gwi,Gwich'in
hai,Haida
hat,Haitian
hat,Haitian Creole
hau,Hausa
haw,Hawaiian
heb,Hebrew
her,Herero
hil,Hiligaynon
him,Himachali languages
hin,Hindi
hmo,Hiri Motu
hit,Hittite
hmn,Hmong
hun,Hungarian
hup,Hupa
iba,Iban
isl,Icelandic
ido,Ido
ibo,Igbo
ijo,Ijo languages
ilo,Iloko
arc,Imperial Aramaic (700-300 BCE)
smn,Inari Sami
inc,Indic languages
ine,Indo-European languages
ind,Indonesian
inh,Ingush
ina,Interlingua (International Auxiliary Language Association)
ile,Interlingue
iku,Inuktitut
ipk,Inupiaq
ira,Iranian languages
gle,Irish
mga,"Irish, Middle (900-1200)"
sga,"Irish, Old (to 900)"
iro,Iroquoian languages
ita,Italian
jpn,Japanese
jav,Javanese
kac,Jingpho
jrb,Judeo-Arabic
jpr,Judeo-Persian
kbd,Kabardian
kab,Kabyle
kac,Kachin
kal,Kalaallisut
xal,Kalmyk
kam,Kamba
kan,Kannada
kau,Kanuri
pam,Kapampangan
kaa,Kara-Kalpak
krc,Karachay-Balkar
krl,Karelian
kar,Karen languages
kas,Kashmiri
csb,Kashubian
kaw,Kawi
kaz,Kazakh
kha,Khasi
khi,Khoisan languages
kho,Khotanese
